"","X","pitcher_name"
"1",1,NA
"2",2,"Odalis Perez"
"3",3,"Tim Hudson"
"4",4,"Saul Rivera"
"5",5,"Ray King"
"6",6,"Luis Ayala"
"7",7,"Will Ohman"
"8",8,"Peter Moylan"
"9",9,"Jon Rauch"
"10",10,"Livan Hernandez"
"11",11,"Jered Weaver"
"12",12,"Darren Oliver"
"13",13,"Pat Neshek"
"14",14,"Darren O'Day"
"15",15,"Joe Nathan"
"16",16,"Aaron Harang"
"17",17,"Brandon Webb"
"18",18,"Jared Burton"
"19",19,"Chad Qualls"
"20",20,"David Weathers"
"21",21,"Tony Pena"
"22",22,"Francisco Cordero"
"23",23,"Brandon Lyon"
"24",24,"C.C. Sabathia"
"25",25,"Mark Buehrle"
"26",26,"Nick Masset"
"27",27,"Jensen Lewis"
"28",28,"Rafael Perez"
"29",29,"Rafael Betancourt"
"30",30,"Boone Logan"
"31",31,"Octavio Dotel"
"32",32,"Joe Borowski"
"33",33,"Jake Peavy"
"34",34,"Roy Oswalt"
"35",35,"Dave Borkowski"
"36",36,"Brian Moehler"
"37",37,"Wesley Wright"
"38",38,"Heath Bell"
"39",39,"Geoff Geary"
"40",40,"Cla Meredith"
"41",41,"Justin Verlander"
"42",42,"Gil Meche"
"43",43,"Jason Grilli"
"44",44,"Bobby Seay"
"45",45,"Aquilino Lopez"
"46",46,"Brett Tomko"
"47",47,"Todd Jones"
"48",48,"Juan Carlos Oviedo"
"49",49,"Denny Bautista"
"50",50,"Joakim Soria"
"51",51,"Carlos Zambrano"
"52",52,"Ben Sheets"
"53",53,"Carlos Marmol"
"54",54,"Salomon Torres"
"55",55,"Guillermo Mota"
"56",56,"Kerry Wood"
"57",57,"Eric Gagne"
"58",58,"Bob Howry"
"59",59,"David Riske"
"60",60,"Mark Hendrickson"
"61",61,"Johan Santana"
"62",62,"Ricky Nolasco"
"63",63,"Matt Wise"
"64",64,"Scott Schoeneweis"
"65",65,"Jorge Sosa"
"66",66,"Matt Lindstrom"
"67",67,"Aaron Heilman"
"68",68,"Tom Glavine"
"69",69,"Ian Snell"
"70",70,"Chris Resop"
"71",71,"Royce Ring"
"72",72,"Tyler Yates"
"73",73,"Manny Acosta"
"74",74,"Jeff Bennett"
"75",75,"John Grabow"
"76",76,"Damaso Marte"
"77",77,"Matt Capps"
"78",78,"Rafael Soriano"
"79",79,"Franquelis Osoria"
"80",80,"Blaine Boyer"
"81",81,"Brad Penny"
"82",82,"Barry Zito"
"83",83,"Merkin Valdez"
"84",84,"Scott Proctor"
"85",85,"Keiichi Yabu"
"86",86,"Joe Beimel"
"87",87,"Erick Threets"
"88",88,"Takashi Saito"
"89",89,"Jeremy Guthrie"
"90",90,"James Shields"
"91",91,"Matt Albers"
"92",92,"Trever Miller"
"93",93,"Al Reyes"
"94",94,"Brian Burres"
"95",95,"Dan Wheeler"
"96",96,"Erik Bedard"
"97",97,"Kevin Millwood"
"98",98,"Sean Green"
"99",99,"Eric O'Flaherty"
"100",100,"Kazuo Fukumori"
"101",101,"Franklyn German"
"102",102,"Mark Lowe"
"103",103,"J.J. Putz"
"104",104,"Brett Myers"
"105",105,"Matt Chico"
"106",106,"Ryan Madson"
"107",107,"Joel Hanrahan"
"108",108,"Chad Durbin"
"109",109,"J.C. Romero"
"110",110,"Tom Gordon"
"111",111,"Clay Condrey"
"112",112,"Jesus Colome"
"113",113,"Boof Bonser"
"114",114,"Jon Garland"
"115",115,"Jesse Crain"
"116",116,"Dennys Reyes"
"117",117,"Brian Bass"
"118",118,"Juan Rincon"
"119",119,"Joe Blanton"
"120",120,"Daisuke Matsuzaka"
"121",121,"Santiago Casilla"
"122",122,"Hideki Okajima"
"123",123,"Jonathan Papelbon"
"124",124,"Keith Foulke"
"125",125,"Kyle Lohse"
"126",126,"Kip Wells"
"127",127,"Kyle McClellan"
"128",128,"Micah Bowie"
"129",129,"Russ Springer"
"130",130,"Taylor Buchholz"
"131",131,"Ryan Franklin"
"132",132,"Randy Flores"
"133",133,"Brian Fuentes"
"134",134,"Jason Isringhausen"
"135",135,"Manuel Corpas"
"136",136,"Chris Young"
"137",137,"Brandon Backe"
"138",138,"Joe Thatcher"
"139",139,"Oscar Villarreal"
"140",140,"Doug Brocail"
"141",141,"Trevor Hoffman"
"142",142,"Henricus VandenHurk"
"143",143,"Pedro Martinez"
"144",144,"Renyel Pinto"
"145",145,"Lee Gardner"
"146",146,"Logan Kensing"
"147",147,"Joe Smith"
"148",148,"Taylor Tankersley"
"149",149,"Kevin Gregg"
"150",150,"Justin Miller"
"151",151,"Derek Lowe"
"152",152,"Matt Cain"
"153",153,"Jack Taschner"
"154",154,"Ramon Troncoso"
"155",155,"Brad Hennessey"
"156",156,"Tyler Walker"
"157",157,"Jonathan Broxton"
"158",158,"Felix Hernandez"
"159",159,"Vicente Padilla"
"160",160,"Eddie Guardado"
"161",161,"Joaquin Benoit"
"162",162,"C.J. Wilson"
"163",163,"Chien-Ming Wang"
"164",164,"Roy Halladay"
"165",165,"Joba Chamberlain"
"166",166,"Scott Downs"
"167",167,"Mariano Rivera"
"168",168,"Nick Blackburn"
"169",169,"Joe Saunders"
"170",170,"Matt Guerrier"
"171",171,"Francisco Rodriguez"
"172",172,"Bronson Arroyo"
"173",173,"Dan Haren"
"174",174,"Todd Coffey"
"175",175,"Kent Mercker"
"176",176,"Jeremy Affeldt"
"177",177,"Rich Harden"
"178",178,"Jon Lester"
"179",179,"Andrew Brown"
"180",180,"Alan Embree"
"181",181,"Bryan Corey"
"182",182,"Lenny DiNardo"
"183",183,"Huston Street"
"184",184,"Manny Delcarmen"
"185",185,"Roberto Hernandez"
"186",186,"Javier Vazquez"
"187",187,"Mike MacDougal"
"188",188,"Masahide Kobayashi"
"189",189,"Matt Thornton"
"190",190,"Jorge Julio"
"191",191,"Todd Wellemeyer"
"192",192,"Aaron Cook"
"193",193,"Matt Herges"
"194",194,"Ron Villone"
"195",195,"Luis Vizcaino"
"196",196,"Greg Maddux"
"197",197,"Wandy Rodriguez"
"198",198,"Jose Valverde"
"199",199,"Enrique Gonzalez"
"200",200,"Kenny Rogers"
"201",201,"Brian Bannister"
"202",202,"Zach Miner"
"203",203,"Yorman Bazardo"
"204",204,"Ted Lilly"
"205",205,"Jeff Suppan"
"206",206,"Kevin Hart"
"207",207,"Michael Wuertz"
"208",208,"Carmen Pignatiello"
"209",209,"Andrew Miller"
"210",210,"Oliver Perez"
"211",211,"Nelson Figueroa"
"212",212,"Pedro Feliciano"
"213",213,"Billy Wagner"
"214",214,"Jair Jurrjens"
"215",215,"Tom Gorzelanny"
"216",216,"Evan Meek"
"217",217,"Hong-Chih Kuo"
"218",218,"Tim Lincecum"
"219",219,"Chad Billingsley"
"220",220,"Esteban Loaiza"
"221",221,"Brian Wilson"
"222",222,"Daniel Cabrera"
"223",223,"Matt Garza"
"224",224,"Randor Bierd"
"225",225,"Gary Glover"
"226",226,"Chad Bradford"
"227",227,"Jamie Walker"
"228",228,"Scott Dohmann"
"229",229,"George Sherrill"
"230",230,"Carlos Silva"
"231",231,"Jason Jennings"
"232",232,"Jamey Wright"
"233",233,"Miguel Batista"
"234",234,"Mike Mussina"
"235",235,"A.J. Burnett"
"236",236,"LaTroy Hawkins"
"237",237,"Brian Tallet"
"238",238,"Kyle Farnsworth"
"239",239,"Ross Ohlendorf"
"240",240,"Jeremy Accardo"
"241",241,"Cole Hamels"
"242",242,"Tim Redding"
"243",243,"Kevin Slowey"
"244",244,"Ervin Santana"
"245",245,"Justin Speier"
"246",246,"Johnny Cueto"
"247",247,"Doug Davis"
"248",248,"Yusmeiro Petit"
"249",249,"Brandon Medders"
"250",250,"Doug Slaten"
"251",251,"Mike Lincoln"
"252",252,"Juan Cruz"
"253",253,"Jake Westbrook"
"254",254,"John Danks"
"255",255,"Scott Linebrink"
"256",256,"Bobby Jenks"
"257",257,"Brad Thompson"
